idx,tag,score,n_items,candidate_text_length
0,candidate_0000,0.22666666666666668,9,650
1,candidate_0001,0.22666666666666668,9,650
2,candidate_0002,0.19888888888888892,9,2006
3,candidate_0003,0.22666666666666668,9,650
4,candidate_0004,0.19888888888888892,9,2241
5,candidate_0005,0.22666666666666668,9,650
6,candidate_0006,0.22666666666666668,9,1617
7,candidate_0007,0.22666666666666668,9,650
8,candidate_0008,0.19888888888888892,9,2822
9,candidate_0009,0.22666666666666668,9,650
10,candidate_0010,0.19888888888888892,9,1980
