idx,tag,score,n_items,candidate_text_length
0,candidate_0000,0.19888888888888875,27,355
1,candidate_0001,0.19888888888888875,27,355
2,candidate_0002,0.30222222222222217,27,3950
3,candidate_0003,0.30222222222222217,27,3950
4,candidate_0004,0.30222222222222217,27,3950
5,candidate_0005,0.29296296296296287,27,8857
6,candidate_0006,0.30222222222222217,27,3950
7,candidate_0007,0.27444444444444427,27,10205
8,candidate_0008,0.30222222222222217,27,3950
9,candidate_0009,0.30703703703703694,27,8641
10,candidate_0010,0.30703703703703694,27,8641
