candidate_idx,canonical_id,n_items_used,mean_score
0,e5_g1,3,0.1433333333
0,g5_h2,3,0.3100000000
0,s4_e4,3,0.2266666667
1,e5_g1,3,0.1433333333
1,g5_h2,3,0.3100000000
1,s4_e4,3,0.2266666667
2,e5_g1,3,0.1433333333
2,g5_h2,3,0.2266666667
2,s4_e4,3,0.2266666667
3,e5_g1,3,0.1433333333
3,g5_h2,3,0.3100000000
3,s4_e4,3,0.2266666667
4,e5_g1,3,0.1433333333
4,g5_h2,3,0.3100000000
4,s4_e4,3,0.1433333333
5,e5_g1,3,0.1433333333
5,g5_h2,3,0.3100000000
5,s4_e4,3,0.2266666667
6,e5_g1,3,0.1433333333
6,g5_h2,3,0.3100000000
6,s4_e4,3,0.2266666667
7,e5_g1,3,0.1433333333
7,g5_h2,3,0.3100000000
7,s4_e4,3,0.2266666667
8,e5_g1,3,0.1433333333
8,g5_h2,3,0.2266666667
8,s4_e4,3,0.2266666667
9,e5_g1,3,0.1433333333
9,g5_h2,3,0.3100000000
9,s4_e4,3,0.2266666667
10,e5_g1,3,0.1433333333
10,g5_h2,3,0.2266666667
10,s4_e4,3,0.2266666667
